,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.6031312147776285,0.03650799371693364,0.010265350341796875,0.004649706185144602,3,50,0.7,"{'max_depth': 3, 'n_estimators': 50, 'subsample': 0.7}",-0.14887304480683206,-0.14881460254351966,-0.156081930055714,-0.1512565258020219,0.003412159485643226,17
1,0.7024543285369873,0.04410391227968589,0.006616751352945964,0.00027083492414701907,3,50,1,"{'max_depth': 3, 'n_estimators': 50, 'subsample': 1}",-0.14932440457160903,-0.149562539387026,-0.1561105631371522,-0.15166583569859574,0.0031444001600592396,18
2,1.0919941266377766,0.013513688725839912,0.010012626647949219,0.0002579832249330419,3,100,0.7,"{'max_depth': 3, 'n_estimators': 100, 'subsample': 0.7}",-0.1433109979758661,-0.1430103413845823,-0.14860909100036496,-0.1449768101202711,0.002571341658925945,16
3,1.7937224706013997,0.34861522872529227,0.014735062917073568,0.006820520975525693,3,100,1,"{'max_depth': 3, 'n_estimators': 100, 'subsample': 1}",-0.1423287932406468,-0.14242654839968816,-0.14865421008903174,-0.14446985057645556,0.002959058117672451,15
4,2.466667413711548,0.19309432333646082,0.024431784947713215,0.009394159275811638,3,200,0.7,"{'max_depth': 3, 'n_estimators': 200, 'subsample': 0.7}",-0.1407850689473838,-0.1395661911793747,-0.1450593229137104,-0.14180352768015628,0.0023553581051808875,7
5,2.7222456137339273,0.05106066625423811,0.01670726140340169,0.0008962396426071582,3,200,1,"{'max_depth': 3, 'n_estimators': 200, 'subsample': 1}",-0.1391476039107044,-0.1392730660457309,-0.1448871860851977,-0.14110261868054433,0.0026765833964347073,3
6,0.8205324014027914,0.017081500529381333,0.008141040802001953,0.00017666511043936482,5,50,0.7,"{'max_depth': 5, 'n_estimators': 50, 'subsample': 0.7}",-0.14019770010330498,-0.14012387261325915,-0.1467761115502639,-0.14236589475560935,0.003118639848444774,8
7,1.1958967049916585,0.13156639920094168,0.013204654057820639,0.0067577635530672205,5,50,1,"{'max_depth': 5, 'n_estimators': 50, 'subsample': 1}",-0.13895877376032736,-0.13911884281962522,-0.14540280117236562,-0.14116013925077273,0.0030007266521779683,4
8,2.4750744501749673,0.026097435293025068,0.029832839965820312,0.009900032953204631,5,100,0.7,"{'max_depth': 5, 'n_estimators': 100, 'subsample': 0.7}",-0.13961517765439593,-0.13883753611619173,-0.1453419531483679,-0.1412648889729852,0.0029003471985410024,5
9,3.072380542755127,0.0989970258844967,0.012952407201131185,0.0004304574798523357,5,100,1,"{'max_depth': 5, 'n_estimators': 100, 'subsample': 1}",-0.13792675122021666,-0.1387211513348912,-0.14368538983953752,-0.1401110974648818,0.0025481290352191424,1
10,4.765295028686523,0.4318606914786336,0.027353366216023762,0.005116794150949063,5,200,0.7,"{'max_depth': 5, 'n_estimators': 200, 'subsample': 0.7}",-0.13934391802494694,-0.13973935474910823,-0.14557393619300796,-0.14155240298902105,0.0028482321457096614,6
11,4.62557053565979,0.403371311112081,0.022097269694010418,0.00028797551908008284,5,200,1,"{'max_depth': 5, 'n_estimators': 200, 'subsample': 1}",-0.13857085981881562,-0.13982813148729104,-0.1446648406362313,-0.14102127731411265,0.002627019638780035,2
12,1.4521886507670085,0.09059827823831401,0.013977527618408203,0.00140379767428778,10,50,0.7,"{'max_depth': 10, 'n_estimators': 50, 'subsample': 0.7}",-0.14046675029665348,-0.14051154374855468,-0.1467523452982623,-0.14257687978115682,0.002952556612693034,9
13,1.6576374371846516,0.021224277225202787,0.014678239822387695,0.00035402410788005475,10,50,1,"{'max_depth': 10, 'n_estimators': 50, 'subsample': 1}",-0.1401419418231953,-0.14252813608950662,-0.14720777157985385,-0.1432926164975186,0.0029348265432214697,10
14,2.9196905295054116,0.09534991926977897,0.019240538279215496,0.0006265715961169936,10,100,0.7,"{'max_depth': 10, 'n_estimators': 100, 'subsample': 0.7}",-0.14081579505959388,-0.14277293390833257,-0.14781635121162678,-0.1438016933931844,0.002949090952332703,13
15,3.4006853103637695,0.011733887788361494,0.02331884702046712,0.0002175692296447472,10,100,1,"{'max_depth': 10, 'n_estimators': 100, 'subsample': 1}",-0.1405161695227911,-0.1430844150754717,-0.14762318579026085,-0.14374125679617455,0.0029383669887724792,11
16,8.230435768763224,0.9800543638645756,0.07360585530598958,0.004831466791825534,10,200,0.7,"{'max_depth': 10, 'n_estimators': 200, 'subsample': 0.7}",-0.14098481059844448,-0.1427959333338224,-0.1478632177450512,-0.14388132055910605,0.002911090321538112,14
17,10.827797969182333,1.1046461391305011,0.05087653795878092,0.02036352081886611,10,200,1,"{'max_depth': 10, 'n_estimators': 200, 'subsample': 1}",-0.1405519374768891,-0.14314220510736922,-0.1476711709228855,-0.1437884378357146,0.0029421175785519994,12
