,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,5.716782331466675,1.0458098597654817,0.00273895263671875,0.00022314968588905108,"(10,)","{'hidden_layer_sizes': (10,)}",-0.15518037677455732,-0.1596201497222787,-0.16370929420750624,-0.15950327356811408,0.0034828966078131237,19
1,5.96664023399353,0.40678687531202956,0.00513768196105957,0.00013597985119129631,"(50,)","{'hidden_layer_sizes': (50,)}",-0.14800852841657525,-0.14731479451339477,-0.15462139239006104,-0.14998157177334367,0.0032930500753953562,18
2,4.76423994700114,0.4261524737715309,0.00829919179280599,0.00021534678539641752,"(100,)","{'hidden_layer_sizes': (100,)}",-0.1443765189963104,-0.14300841000981437,-0.14917740057023737,-0.14552077652545406,0.002645260554702625,14
3,11.310421705245972,1.8662978399809058,0.01442114512125651,0.0005725187304690027,"(200,)","{'hidden_layer_sizes': (200,)}",-0.14198468912289966,-0.14515864989047828,-0.14558767421393645,-0.1442436710757715,0.001606915277808191,13
4,12.28882384300232,2.211414283846144,0.020142873128255207,0.0003665254514990214,"(300,)","{'hidden_layer_sizes': (300,)}",-0.1426705079892665,-0.14290708475820005,-0.14474199481152178,-0.14343986251966276,0.0009257982217258942,9
5,12.222616831461588,5.292650492362653,0.02678060531616211,0.0005796920465133013,"(400,)","{'hidden_layer_sizes': (400,)}",-0.1426143080178399,-0.1443412565309828,-0.1625066483878743,-0.14982073764556567,0.008997956668530467,17
6,25.00776155789693,4.574192645207594,0.03633761405944824,0.002164293666798652,"(500,)","{'hidden_layer_sizes': (500,)}",-0.14225187643855797,-0.1399843395187365,-0.14725976000941918,-0.14316532532223789,0.003039597284332621,5
7,5.804136753082275,0.9587279389381953,0.011244932810465494,6.573793963416352e-05,"(100, 50)","{'hidden_layer_sizes': (100, 50)}",-0.14103342670031146,-0.14257934126046096,-0.14854810332151042,-0.14405362376076095,0.0032401360926476133,12
8,10.979476769765219,1.0479596103250568,0.029019594192504883,0.00966417899572693,"(200, 100)","{'hidden_layer_sizes': (200, 100)}",-0.14794659989086817,-0.1430091777624793,-0.1459772135694271,-0.14564433040759153,0.002029391159609418,15
9,21.54651467005412,2.2031630586954223,0.054107348124186196,0.0023765455242193696,"(400, 200)","{'hidden_layer_sizes': (400, 200)}",-0.1415641441848288,-0.1412293584996831,-0.14626023664839352,-0.14301791311096845,0.0022967392545011843,4
10,20.363412777582806,1.9765130331651042,0.04560422897338867,0.0012254795211499576,"(200, 400)","{'hidden_layer_sizes': (200, 400)}",-0.1399863098123449,-0.13901601857169418,-0.14495741607977858,-0.14131991482127254,0.0026024255131377695,1
11,41.14861297607422,11.354029931150698,0.11611032485961914,0.007202702797766412,"(200, 400, 500)","{'hidden_layer_sizes': (200, 400, 500)}",-0.14324151713038766,-0.14290228665557395,-0.1446484794322392,-0.1435974277394003,0.0007559989305659485,11
12,26.636975526809692,5.919109988553952,0.062291463216145836,0.0012573150395127873,"(400, 200, 100)","{'hidden_layer_sizes': (400, 200, 100)}",-0.14183927026639187,-0.14434371518531092,-0.1443567208856888,-0.1435132354457972,0.00118368403820634,10
13,30.718024571736652,3.671861338404514,0.07391762733459473,6.407237786862705e-05,"(500, 200, 100)","{'hidden_layer_sizes': (500, 200, 100)}",-0.14148706767764835,-0.14095359408029745,-0.14660440908254133,-0.14301502361349572,0.002547405811646363,3
14,11.773975133895874,0.16580447474519874,0.02870066960652669,0.0036170087800972716,"(200, 100, 50)","{'hidden_layer_sizes': (200, 100, 50)}",-0.1425741199355874,-0.14083287820550358,-0.1462381198671247,-0.1432150393360719,0.0022527379805574693,6
15,4.653939088185628,0.41047550991924814,0.014860312143961588,0.004705331459872498,"(100, 50, 10)","{'hidden_layer_sizes': (100, 50, 10)}",-0.14735660279680196,-0.14322418400076256,-0.1482754426506341,-0.1462854098160662,0.0021968757040334488,16
16,55.09666315714518,8.42034589547172,0.14234662055969238,0.0028650958621162844,"(200, 300, 400, 500)","{'hidden_layer_sizes': (200, 300, 400, 500)}",-0.1409999176523495,-0.1405932743106193,-0.1484721049317047,-0.14335509896489118,0.003622076039156492,7
17,21.98263144493103,3.929867469389836,0.05427757898966471,0.0011828093541814094,"(300, 200, 100, 50)","{'hidden_layer_sizes': (300, 200, 100, 50)}",-0.1393086399221442,-0.13923175745022923,-0.14741428153355676,-0.1419848929686434,0.0038392857730078682,2
18,12.475147326787313,0.34066007295233564,0.02210267384847005,0.005330909250624735,"(200, 100, 50, 10)","{'hidden_layer_sizes': (200, 100, 50, 10)}",-0.1413250846026529,-0.1427693906289571,-0.14615889420800143,-0.14341778981320383,0.0020259557336047276,8
